cliente,equipo,numeroSerie,periodo,prueba,fechaRealizacion,noReporte,resultado,ejecucion,emisor,pruebaDetalle,observaciones,ubicacion,areaPrueba,tecnico,proxima
PCT,PCT-45-005,PCT-23-4206-45-005,ANUAL,LT,08/10/2025,PCT-NDT-1-0167,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 2000K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,08/10/2026
PCT,PCT-45-012,PCT-23-6206-45-002,ANUAL,LT,24/09/2025,PCT-NDT-1-0150,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 1440K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,24/09/2026
PCT,PCT-45-013,PCT-23-6206-45-003,ANUAL,LT,25/09/2025,PCT-NDT-1-0154,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 1440K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,25/09/2026
PCT,PCT-45-014,PCT-23-6206-45-004,ANUAL,LT,24/09/2025,PCT-NDT-1-0152,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 1440K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,24/09/2026
PCT,PCT-45-015,PCT-23-6206-45-005,ANUAL,LT,25/09/2025,PCT-NDT-1-0154,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 1440K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,25/09/2026
PCT,PCT-45-016,PCT-23-6206-45-006,ANUAL,LT,23/09/2025,PCT-NDT-1-0133,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 1440K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,23/09/2026
PCT,PCT-45-017,PCT-23-6206-45-007,ANUAL,LT,25/09/2025,PCT-NDT-1-0154,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 1440K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,25/09/2026
PCT,PCT-45-019,PCT-23-6206-45-009,ANUAL,LT,25/09/2025,PCT-NDT-1-0154,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 1440K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,25/09/2026
PCT,PCT-45-020,PCT-23-6206-45-010,ANUAL,LT,25/09/2025,PCT-NDT-1-0154,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 1440K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,25/09/2026
PCT,PCT-45-023,PCT-23-4602-45-001,ANUAL,LT,17/06/2025,PCT-NDT-1-0020,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 5000K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,17/06/2026
PCT,PCT-45-023,PCT-23-4602-45-001,ANUAL,LT,21/04/2025,PCT-NDT-1-0023,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 5000K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,21/04/2026
PCT,PCT-45-024,PCT-23-4602-45-002,ANUAL,LT,17/06/2025,PCT-NDT-1-0020,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 5000K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,17/06/2026
PCT,PCT-45-024,PCT-23-4602-45-002,ANUAL,LT,21/04/2025,PCT-NDT-1-0023,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 5000K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,21/04/2026
PCT,PCT-45-025,PCT-23-4602-45-003,ANUAL,LT,17/06/2025,PCT-NDT-1-0020,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 5000K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,17/06/2026
PCT,PCT-45-025,PCT-23-4602-45-003,ANUAL,LT,21/04/2025,PCT-NDT-1-0023,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 5000K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,21/04/2026
PCT,PCT-45-026,PCT-23-4602-45-004,ANUAL,LT,17/06/2025,PCT-NDT-1-0020,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 5000K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,17/06/2026
PCT,PCT-45-026,PCT-23-4602-45-004,ANUAL,LT,21/04/2025,PCT-NDT-1-0023,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 5000K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,21/04/2026
PCT,PCT-45-027,PCT-23-4602-45-005,ANUAL,LT,17/06/2025,PCT-NDT-1-0020,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 5000K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,17/06/2026
PCT,PCT-45-027,PCT-23-4602-45-005,ANUAL,LT,21/04/2025,PCT-NDT-1-0023,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 5000K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,21/04/2026
PCT,PCT-45-028,PCT-23-4602-45-006,ANUAL,LT,17/06/2025,PCT-NDT-1-0020,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 5000K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,17/06/2026
PCT,PCT-45-028,PCT-23-4602-45-006,ANUAL,LT,21/04/2025,PCT-NDT-1-0023,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 5000K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,21/04/2026
PCT,PCT-45-029,PCT-23-4602-45-007,ANUAL,LT,17/06/2025,PCT-NDT-1-0020,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 5000K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,17/06/2026
PCT,PCT-45-029,PCT-23-4602-45-007,ANUAL,LT,21/04/2025,PCT-NDT-1-0023,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 5000K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,21/04/2026
PCT,PCT-45-030,PCT-23-4602-45-008,ANUAL,LT,17/06/2025,PCT-NDT-1-0020,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 5000K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,17/06/2026
PCT,PCT-45-030,PCT-23-4602-45-008,ANUAL,LT,21/04/2025,PCT-NDT-1-0023,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 5000K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,21/04/2026
PCT,PCT-45-031,PCT-23-4602-45-009,ANUAL,LT,17/06/2025,PCT-NDT-1-0020,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 5000K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,17/06/2026
PCT,PCT-45-031,PCT-23-4602-45-009,ANUAL,LT,21/04/2025,PCT-NDT-1-0023,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 5000K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,21/04/2026
PCT,PCT-45-031,PCT-23-4602-45-009,POST-TRABAJO,LT,22/09/2025,PCT-NDT-1-0146,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 5000K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,
PCT,PCT-45-032,PCT-23-4602-45-010,ANUAL,LT,17/06/2025,PCT-NDT-1-0020,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 5000K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,17/06/2026
PCT,PCT-45-032,PCT-23-4602-45-010,ANUAL,LT,21/04/2025,PCT-NDT-1-0023,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 5000K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,21/04/2026
PCT,PCT-45-033,PCT-23-4602-45-011,ANUAL,LT,17/06/2025,PCT-NDT-1-0020,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 5000K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,17/06/2026
PCT,PCT-45-033,PCT-23-4602-45-011,ANUAL,LT,21/04/2025,PCT-NDT-1-0023,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 5000K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,21/04/2026
PCT,PCT-45-034,PCT-23-4602-45-012,ANUAL,LT,17/06/2025,PCT-NDT-1-0020,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 5000K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,17/06/2026
PCT,PCT-45-034,PCT-23-4602-45-012,ANUAL,LT,21/04/2025,PCT-NDT-1-0023,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 5000K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,21/04/2026
PCT,PCT-45-035,PCT-23-4602-45-013,ANUAL,LT,17/06/2025,PCT-NDT-1-0020,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 5000K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,17/06/2026
PCT,PCT-45-035,PCT-23-4602-45-013,ANUAL,LT,21/04/2025,PCT-NDT-1-0023,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 5000K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,21/04/2026
PCT,PCT-45-036,PCT-23-4602-45-014,ANUAL,LT,17/06/2025,PCT-NDT-1-0020,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 5000K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,17/06/2026
PCT,PCT-45-036,PCT-23-4602-45-014,ANUAL,LT,21/04/2025,PCT-NDT-1-0023,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 5000K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,21/04/2026
PCT,PCT-45-037,PCT-23-4602-45-015,ANUAL,LT,17/06/2025,PCT-NDT-1-0020,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 5000K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,17/06/2026
PCT,PCT-45-037,PCT-23-4602-45-015,ANUAL,LT,21/04/2025,PCT-NDT-1-0023,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 5000K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,21/04/2026
PCT,PCT-45-038,PCT-23-4602-45-016,ANUAL,LT,17/06/2025,PCT-NDT-1-0020,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 5000K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,17/06/2026
PCT,PCT-45-038,PCT-23-4602-45-016,ANUAL,LT,21/04/2025,PCT-NDT-1-0023,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 5000K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,21/04/2026
PCT,PCT-45-039,PCT-23-4602-45-017,ANUAL,LT,17/06/2025,PCT-NDT-1-0020,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 5000K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,17/06/2026
PCT,PCT-45-039,PCT-23-4602-45-017,ANUAL,LT,21/04/2025,PCT-NDT-1-0023,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 5000K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,21/04/2026
PCT,PCT-45-040,PCT-23-4602-45-018,ANUAL,LT,17/06/2025,PCT-NDT-1-0020,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 5000K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,17/06/2026
PCT,PCT-45-040,PCT-23-4602-45-018,ANUAL,LT,21/04/2025,PCT-NDT-1-0023,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 5000K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,21/04/2026
PCT,PCT-45-040,PCT-23-4602-45-018,POST-TRABAJO,LT,22/09/2025,PCT-NDT-1-0146,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 5000K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,
PCT,PCT-45-041,PCT-23-4602-45-019,ANUAL,LT,17/06/2025,PCT-NDT-1-0020,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 5000K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,17/06/2026
PCT,PCT-45-041,PCT-23-4602-45-019,ANUAL,LT,21/04/2025,PCT-NDT-1-0023,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 5000K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,21/04/2026
PCT,PCT-45-041,PCT-23-4602-45-019,POST-TRABAJO,LT,22/09/2025,PCT-NDT-1-0146,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 5000K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,
PCT,PCT-45-042,PCT-23-4602-45-020,ANUAL,LT,17/06/2025,PCT-NDT-1-0020,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 5000K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,17/06/2026
PCT,PCT-45-042,PCT-23-4602-45-020,ANUAL,LT,21/04/2025,PCT-NDT-1-0023,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 5000K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,21/04/2026
PCT,PCT-45-043,PCT-24-21502-45-001,ANUAL,LT,11/08/2025,PCT-NDT-1-0045,APROBADA,INTERNO,PCT,,PRUEBA REALIZADA POR 15MIN A 9900K PSI,,CAVIDAD,RUBEN FERNANDO MAGANA CHAN,11/08/2026
